Modelo,Precio,Color,M,L,XL,2XL,3XL,4XL,5XL
NOE,900.0,NEGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PILOTO,1050.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIEGO,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTIAGO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TONIS,1350.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTANA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEXANDER,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLO,1750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canelo,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEVIS,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORTA HIDROFUGADA,1750.0,MIEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORTA HIDROFUGADA,1650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORTA NATURAL,1450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROGER,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICOLAS,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRAHAM,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPERMAN,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMISOLA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABARDINA,1250.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOCKER,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CESAR,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECTOR,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMMY,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALASKA NTURAL,1850.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALASKA REPELENTE,1950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAQUERA HIDROFUGADA,1650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARLBORO NATURAL PUNTAS,1850.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARLBORO HIDROGUGADA,1750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBBING,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLANDO,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUSO,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCOS,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUCCA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRIEL,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFLEJANTE,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIPER,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCKERA BORREGO,1050.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCKERA ANCA,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKER,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUIS,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAUL,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBERT,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDY,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVENGER,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATMAN REFLEJANTE,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATMAN,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELIUT,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLACK,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAN,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPITAN COMBINADO,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMMANUEL,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONDON,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPITAN REFLEJANTE,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALAVERA,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVIADOR,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDRE,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEAD POOL,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISAEL,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALIANO MAO,900.0,0,2.0,2,2,2.0,2.0,2.0,2.0
DALLAS,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEX,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEMANA VIVOS,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italiano,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEMANA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGLATERRA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEPORTIVA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTABROCHE,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAZADORA,1050.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAUL,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHALECO VAQUERO,450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHALEO LEVIS,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAOLO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMAN,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERGIO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDWING,1450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVAN,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JULIO ABORREGADO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHALECO ROCKERO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHELECO JHONY,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIKER,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TADEO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
