[2022-07-09 13:54:24.171] [sharedprocess] [info] Starting worker process with pid 498 (type: fileWatcher, window: 1).
[2022-07-09 13:54:24.261] [sharedprocess] [info] Deleted from disk ms-toolsai.jupyter-renderers /home/intcesar/.vscode/extensions/ms-toolsai.jupyter-renderers-1.0.6
[2022-07-09 13:54:24.382] [sharedprocess] [info] Deleted from disk mechatroner.rainbow-csv /home/intcesar/.vscode/extensions/mechatroner.rainbow-csv-2.3.0
[2022-07-09 14:27:40.701] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-09 14:31:27.101] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-09 16:06:01.669] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-09 16:28:27.795] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-09 18:04:34.048] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-09 18:06:52.630] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-10 18:00:11.524] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-11 23:07:25.935] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 08:58:13.907] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 11:34:35.956] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 11:53:28.802] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 14:14:42.322] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 14:53:15.050] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 14:54:13.021] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 15:56:10.564] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 16:32:57.588] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 17:14:16.840] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 18:10:53.871] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 18:11:01.512] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-12 22:16:22.467] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-13 09:18:27.925] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-13 09:19:22.264] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-13 09:30:04.277] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
