[2022-08-17 11:31:25.057] [sharedprocess] [info] Starting worker process with pid 496 (type: fileWatcher, window: 1).
[2022-08-17 11:31:25.471] [sharedprocess] [info] Deleted from disk ms-toolsai.jupyter-renderers /home/intcesar/.vscode/extensions/ms-toolsai.jupyter-renderers-1.0.8
[2022-08-17 14:30:23.697] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-17 22:29:28.146] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-17 23:04:24.195] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-17 23:42:03.000] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-18 16:34:32.843] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-18 22:00:05.351] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-18 22:00:58.760] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-18 22:12:56.416] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-18 22:33:27.286] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-19 08:59:17.860] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-19 15:38:28.751] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-20 09:14:26.941] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-20 12:26:48.588] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-20 16:42:31.879] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-20 17:30:43.580] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-21 09:43:27.289] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-21 17:01:19.591] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-21 17:11:43.271] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-21 17:18:25.730] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-22 00:13:09.821] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-22 09:35:34.879] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-23 22:40:16.656] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-08-24 11:04:25.984] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
